user_id,FD12_words,FD14_words,FD16_words,ref_dat_score
88500b05-d503-4530-b455-fdb2ebf2f38c,"['rabbit', 'map', 'continent', 'sea', 'land', 'man', 'hat', 'tea pot', 'cloths', 'lake', 'river', 'bridge']","['monster', 'asia', 'china', 'map', 'water', 'japan']","['stars', 'univrse', 'map', 'pattern', 'water']",65.13932581458774
20b9f11f-6cde-40db-b25f-31569c7d3fb2,"['bear', 'bison', 'person', 'animal', 'map', 'camel', 'gnome', 'head', 'gorilla', 'mouse', 'dragons', 'face', 'dragon', 'figure']","['bird', 'cat', 'demon', 'elephant', 'fish', 'faces', 'gnome', 'fox', 'turtle', 'arm', 'horse', 'lion', 'figure one', 'figure two', 'eagle', 'parent & child', 'mice', 'dragons', 'figure']","['dog', 'lion', 'clouds', 'chicken', 'cat', 'horse', 'rat', 'amoeba', 'tree', 'kitten', 'ghost']",90.04797643671434
4678b63d-cbf6-427a-ac69-217cfadadb62,"['woman', 'dog', 'statue', 'monkey', 'face', 'person', 'duck', 'head']","['man', 'england', 'woman', 'face', 'bird', 'pig', 'dog']","['dog', 'prawn', 'person', 'africa', 'crustacion']",79.87298844825654
dded534f-c1fb-481e-8fde-21e556fa3b36,"['italy', 'english', 'channel', 'uterus', 'monster', 'duck', 'sheep', 'Tasmania', 'pregnant lady', 'terrier', 'profile', 'vase', 'breasts']","['map', 'mexico', 'icesheets', 'monkey', 'profile', 'embryo', 'seahorses', 'mediterranian', 'sea', 'mediterranean', 'countries', 'spaceship']","['storm', 'clouds', 'bull', 'rhino', 'weather', 'forecast', 'storms', 'face', 'weird', 'russia', 'europe', 'coffee', 'spill', 'ghosts', 'washing', 'powder', 'river', 'mud', 'flying', 'piglet']",80.36209905431384
ed7be611-748e-4d48-ba60-1ff0f49668c7,"['Continents', 'Goblin', 'figure', 'penis', 'climbers', 'face', 'weeble', 'grey', 'woman']","['puppet', 'robot', 'claymen', 'dog', 'blobs', 'blobman', 'dino', 'monkey', 'man', 'faces']","['heads', 'clown', 'boogyman', 'faces', 'dragon', 'dog', 'lesheys', 'crocodile', 'Bird', 'man']",83.73167466017462
1ed9a23a-dbe0-48b7-b550-19e7151ea1fb,"['river', 'Mountain', 'Man', 'women', 'people']","['Map', 'Panda', 'Peakcock', 'evil']","['Clouds', 'Trees', 'rhino', 'Sea horse', 'reindeer']",75.13436043546314
9ecd3065-6e0d-44c5-929b-dc68e2c3b83e,"['Woman', 'Feeding', 'treetrunk', 'dog', 'mountain', 'contact', 'hilltop', 'growth', 'hurricane']","['Map', 'Attack', 'fish', 'lakes', 'argument', 'smoke', 'megaphone', 'imp']","['bacteria', 'painting-sheet', 'clouds', 'map', 'insects']",88.59425042090672
83b10d70-6cb3-4e25-9706-0550cd5e5ff3,"['elephantwoman', 'woman', 'womb', 'dinosaur', 'Sisyphus', 'fuzzball']","['man', 'dog', 'child', 'landscape', 'pig', 'meerkat', 'smelling-salts', 'wolf']","['centaur', 'italy', 'dog', 'solider', 'aliens', 'daggger', 'creature', 'mermaid', 'prancing', 'bubble', 'boxer', 'millipede', 'painter', 'ghost', 'skeleton', 'reading']",92.59765855164179
e12e24ec-6d6c-4f70-9d79-156fd101945f,"['map', 'female', 'dog', 'insect', 'person', 'mouse']","['map', 'face', 'cat', 'person', 'horse', 'pig']","['map', 'profile', 'balaclava', 'nose']",79.92948570421764
4ced2b8e-e669-4675-b8aa-878fde20630a,"['black', 'white']","['black', 'white']","['black', 'white', 'dog', 'eyes']",81.3254821690775
