url,tertile,fd_level,n_words,n_users,vocab_entropy,modal_share,mean_pair_sim
images/FD12/FD_12_55.png,Mid,FD12,16,6,4.0,0.0625,0.27804887304703396
images/FD12/FD_12_55.png,High,FD12,21,12,4.165894208390024,0.14285714285714285,0.28185225228468574
images/FD12/FD_12_56.png,Low,FD12,7,5,2.807354922057604,0.14285714285714285,0.32865473250548044
images/FD12/FD_12_56.png,Mid,FD12,24,14,4.501629167387822,0.08333333333333333,0.26462616061170896
images/FD12/FD_12_56.png,High,FD12,21,12,4.297079327540666,0.09523809523809523,0.2925948243836562
images/FD12/FD_12_57.png,Low,FD12,23,15,3.8448819354293255,0.21739130434782608,0.3303352760275205
images/FD12/FD_12_57.png,Mid,FD12,19,10,3.997670276487613,0.15789473684210525,0.2779799500107765
images/FD12/FD_12_57.png,High,FD12,16,11,4.0,0.0625,0.31414563139279683
images/FD12/FD_12_58.png,Low,FD12,12,11,3.188721875540867,0.25,0.3223641727864742
images/FD12/FD_12_58.png,Mid,FD12,30,12,4.748394345536402,0.1,0.2798797299961249
images/FD12/FD_12_58.png,High,FD12,29,13,4.625053839880555,0.10344827586206896,0.28396270362039405
images/FD12/FD_12_59.png,Low,FD12,15,9,3.773557262275185,0.13333333333333333,0.28989719234406947
images/FD12/FD_12_59.png,Mid,FD12,36,18,4.850209029099896,0.08333333333333333,0.26823248133063315
images/FD12/FD_12_59.png,High,FD12,13,10,3.5465935642949384,0.15384615384615385,0.26594101026654243
images/FD12/FD_12_6.png,Low,FD12,16,13,3.875,0.125,0.28923108662168184
images/FD12/FD_12_6.png,Mid,FD12,27,17,3.9582291686698787,0.2222222222222222,0.31287258125841616
images/FD12/FD_12_6.png,High,FD12,17,10,3.9698157824268097,0.11764705882352941,0.26262579316894213
images/FD12/FD_12_60.png,Low,FD12,23,12,4.436605434317882,0.08695652173913043,0.29419104595979056
images/FD12/FD_12_60.png,Mid,FD12,15,11,3.4565647621309536,0.2,0.32154996767640115
images/FD12/FD_12_60.png,High,FD12,32,17,4.8125,0.0625,0.263020526021719
images/FD12/FD_12_61.png,Low,FD12,23,12,4.436605434317882,0.08695652173913043,0.26514117054641245
images/FD12/FD_12_61.png,Mid,FD12,24,14,4.168295834054489,0.16666666666666666,0.2806855136404435
images/FD12/FD_12_61.png,High,FD12,20,12,3.9219280948873623,0.2,0.27978542625904085
images/FD12/FD_12_62.png,Low,FD12,22,9,4.095795255000933,0.09090909090909091,0.2866135095059872
images/FD12/FD_12_62.png,Mid,FD12,29,13,4.720049960644813,0.06896551724137931,0.2667625760038694
images/FD12/FD_12_62.png,High,FD12,20,11,4.321928094887363,0.05,0.2660507553567489
images/FD12/FD_12_63.png,Low,FD12,40,18,4.871928094887363,0.1,0.3171854684998592
images/FD12/FD_12_63.png,Mid,FD12,45,21,4.941744485170486,0.08888888888888889,0.27556210435926914
images/FD12/FD_12_63.png,High,FD12,32,14,4.8125,0.0625,0.265074478884538
images/FD12/FD_12_64.png,Low,FD12,30,10,4.7068905956085185,0.06666666666666667,0.28778188886741796
images/FD12/FD_12_64.png,Mid,FD12,44,14,5.10693673217532,0.06818181818181818,0.305139793852965
images/FD12/FD_12_64.png,High,FD12,29,15,4.651084443403433,0.06896551724137931,0.28558367061118284
images/FD12/FD_12_65.png,Low,FD12,20,11,4.221928094887363,0.1,0.31071974769234656
images/FD12/FD_12_65.png,Mid,FD12,24,10,4.334962500721156,0.08333333333333333,0.28649931656817595
images/FD12/FD_12_65.png,High,FD12,21,10,4.011365041826379,0.09523809523809523,0.28422182604670526
images/FD12/FD_12_66.png,Low,FD12,12,6,3.584962500721156,0.08333333333333333,0.3136427919566631
images/FD12/FD_12_66.png,Mid,FD12,7,5,2.5216406363433186,0.2857142857142857,0.3473906680941582
images/FD12/FD_12_66.png,High,FD12,18,10,4.169925001442312,0.05555555555555555,0.31021504342556
images/FD12/FD_12_67.png,Low,FD12,26,12,4.469670487371861,0.07692307692307693,0.28275921553373334
images/FD12/FD_12_67.png,Mid,FD12,27,13,4.754887502163469,0.037037037037037035,0.25187395596255857
images/FD12/FD_12_67.png,High,FD12,14,10,3.2359263506290334,0.2857142857142857,0.28272036015987395
images/FD12/FD_12_68.png,Low,FD12,17,9,3.8077635764171944,0.17647058823529413,0.29031175608436266
images/FD12/FD_12_68.png,Mid,FD12,29,14,4.625053839880555,0.10344827586206896,0.2788609181344509
