url_stimulus,fd_level,n,n_h,n_a,bias
images/FD14/FD_14_32.png,FD14,76,12,21,0.2727272727272727
images/FD14/FD_14_33.png,FD14,117,26,22,-0.08333333333333333
images/FD14/FD_14_34.png,FD14,109,20,47,0.40298507462686567
images/FD14/FD_14_35.png,FD14,95,28,20,-0.16666666666666666
images/FD14/FD_14_36.png,FD14,73,8,26,0.5294117647058824
images/FD14/FD_14_37.png,FD14,99,21,39,0.3
images/FD14/FD_14_38.png,FD14,75,25,18,-0.16279069767441862
images/FD14/FD_14_39.png,FD14,98,24,25,0.02040816326530612
images/FD14/FD_14_4.png,FD14,108,22,30,0.15384615384615385
images/FD14/FD_14_40.png,FD14,103,37,15,-0.4230769230769231
images/FD14/FD_14_41.png,FD14,92,15,37,0.4230769230769231
images/FD14/FD_14_42.png,FD14,70,22,16,-0.15789473684210525
images/FD14/FD_14_43.png,FD14,103,14,46,0.5333333333333333
images/FD14/FD_14_44.png,FD14,104,27,23,-0.08
images/FD14/FD_14_45.png,FD14,91,17,36,0.3584905660377358
images/FD14/FD_14_46.png,FD14,100,24,36,0.2
images/FD14/FD_14_47.png,FD14,123,18,45,0.42857142857142855
images/FD14/FD_14_48.png,FD14,93,28,16,-0.2727272727272727
images/FD14/FD_14_49.png,FD14,86,27,21,-0.125
images/FD14/FD_14_5.png,FD14,109,31,20,-0.21568627450980393
images/FD14/FD_14_50.png,FD14,95,27,24,-0.058823529411764705
images/FD14/FD_14_51.png,FD14,98,27,16,-0.2558139534883721
images/FD14/FD_14_52.png,FD14,108,24,23,-0.02127659574468085
images/FD14/FD_14_53.png,FD14,78,20,22,0.047619047619047616
images/FD14/FD_14_54.png,FD14,93,22,35,0.22807017543859648
images/FD14/FD_14_55.png,FD14,108,40,18,-0.3793103448275862
images/FD14/FD_14_56.png,FD14,117,28,49,0.2727272727272727
images/FD14/FD_14_57.png,FD14,94,22,22,0.0
images/FD14/FD_14_58.png,FD14,122,32,28,-0.06666666666666667
images/FD14/FD_14_59.png,FD14,102,34,28,-0.0967741935483871
images/FD14/FD_14_6.png,FD14,78,23,17,-0.15
images/FD14/FD_14_60.png,FD14,70,19,22,0.07317073170731707
images/FD14/FD_14_61.png,FD14,112,28,38,0.15151515151515152
images/FD14/FD_14_62.png,FD14,83,17,20,0.08108108108108109
images/FD14/FD_14_63.png,FD14,95,20,36,0.2857142857142857
images/FD14/FD_14_64.png,FD14,86,26,31,0.08771929824561403
images/FD14/FD_14_65.png,FD14,77,12,24,0.3333333333333333
images/FD14/FD_14_66.png,FD14,77,23,11,-0.35294117647058826
images/FD14/FD_14_67.png,FD14,93,23,23,0.0
images/FD14/FD_14_68.png,FD14,141,46,32,-0.1794871794871795
images/FD14/FD_14_69.png,FD14,99,37,15,-0.4230769230769231
images/FD14/FD_14_7.png,FD14,93,30,30,0.0
images/FD14/FD_14_70.png,FD14,80,33,23,-0.17857142857142858
images/FD14/FD_14_71.png,FD14,88,17,29,0.2608695652173913
images/FD14/FD_14_72.png,FD14,94,31,13,-0.4090909090909091
images/FD14/FD_14_73.png,FD14,85,28,22,-0.12
images/FD14/FD_14_74.png,FD14,75,20,23,0.06976744186046512
images/FD14/FD_14_75.png,FD14,84,24,21,-0.06666666666666667
images/FD14/FD_14_76.png,FD14,55,16,14,-0.06666666666666667
images/FD14/FD_14_77.png,FD14,100,24,22,-0.043478260869565216
images/FD14/FD_14_78.png,FD14,86,26,35,0.14754098360655737
images/FD14/FD_14_79.png,FD14,63,13,26,0.3333333333333333
images/FD14/FD_14_8.png,FD14,85,34,17,-0.3333333333333333
images/FD14/FD_14_80.png,FD14,111,21,28,0.14285714285714285
images/FD14/FD_14_81.png,FD14,92,15,18,0.09090909090909091
images/FD14/FD_14_82.png,FD14,75,27,16,-0.2558139534883721
images/FD14/FD_14_83.png,FD14,88,30,23,-0.1320754716981132
images/FD14/FD_14_84.png,FD14,119,40,18,-0.3793103448275862
images/FD14/FD_14_85.png,FD14,115,29,29,0.0
images/FD14/FD_14_86.png,FD14,103,29,28,-0.017543859649122806
images/FD14/FD_14_87.png,FD14,97,34,20,-0.25925925925925924
images/FD14/FD_14_88.png,FD14,75,25,17,-0.19047619047619047
images/FD14/FD_14_89.png,FD14,87,30,22,-0.15384615384615385
images/FD14/FD_14_9.png,FD14,71,16,32,0.3333333333333333
images/FD14/FD_14_90.png,FD14,57,12,12,0.0
images/FD14/FD_14_91.png,FD14,111,46,25,-0.29577464788732394
images/FD14/FD_14_92.png,FD14,91,22,17,-0.1282051282051282
images/FD14/FD_14_93.png,FD14,119,42,19,-0.3770491803278688
images/FD14/FD_14_94.png,FD14,92,19,18,-0.02702702702702703
images/FD14/FD_14_95.png,FD14,85,16,18,0.058823529411764705
images/FD14/FD_14_96.png,FD14,124,45,15,-0.5
images/FD14/FD_14_97.png,FD14,64,25,12,-0.35135135135135137
images/FD14/FD_14_98.png,FD14,93,22,34,0.21428571428571427
images/FD14/FD_14_99.png,FD14,97,36,22,-0.2413793103448276
images/FD16/FD_16_0.png,FD16,104,28,25,-0.05660377358490566
images/FD16/FD_16_1.png,FD16,83,23,15,-0.21052631578947367
images/FD16/FD_16_10.png,FD16,111,20,29,0.1836734693877551
images/FD16/FD_16_11.png,FD16,87,12,32,0.45454545454545453
images/FD16/FD_16_12.png,FD16,113,33,32,-0.015384615384615385
images/FD16/FD_16_13.png,FD16,84,33,16,-0.3469387755102041
images/FD16/FD_16_14.png,FD16,72,22,17,-0.1282051282051282
images/FD16/FD_16_15.png,FD16,93,22,35,0.22807017543859648
images/FD16/FD_16_16.png,FD16,70,15,30,0.3333333333333333
images/FD16/FD_16_17.png,FD16,88,23,21,-0.045454545454545456
images/FD16/FD_16_18.png,FD16,89,15,32,0.3617021276595745
images/FD16/FD_16_19.png,FD16,102,36,20,-0.2857142857142857
images/FD16/FD_16_2.png,FD16,107,19,49,0.4411764705882353
images/FD16/FD_16_20.png,FD16,67,14,22,0.2222222222222222
images/FD16/FD_16_21.png,FD16,97,20,28,0.16666666666666666
images/FD16/FD_16_22.png,FD16,90,32,16,-0.3333333333333333
images/FD16/FD_16_23.png,FD16,77,24,17,-0.17073170731707318
images/FD16/FD_16_24.png,FD16,98,26,19,-0.15555555555555556
images/FD16/FD_16_25.png,FD16,81,27,17,-0.22727272727272727
